,Song,Artist,position,id,Keywords,lyrics
0,Shape Of You,Ed Sheeran,3,0,"love, body, baby, lead, shape","The club isn't the best place to find a lover
So the bar is where I go
Me and my friends at the table doing shots
Drinking fast, and then we talk slow

And you come over and start up a conversation with just me
And trust me, I'll give it a chance now
Take my hand, stop
Put ""Van the Man"" on the jukebox
And then we start to dance
And now I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me

Say: ""Boy, let's not talk too much
Grab on my waist and put that body on me""
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new

Oh, I'm in love with your body
Oh-i-oh-i-oh-i-oh-i
Oh, I'm in love with your body
Oh-i-oh-i-oh-i-oh-i
Oh, I'm in love with your body
Oh-i-oh-i-oh-i-oh-i
Oh, I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you

One week in we let the story begin
We're going out on our first date
But you and me are thrifty
So go all-you-can-eat
Fill up your bag, and I fill up a plate

We talk for hours and hours about the sweet and the sour
And how your family is doing okay
And leave and get in a taxi, then kiss in the back seat
Tell the driver make the radio play
And now I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me

Say: ""Boy, let's not talk too much
Grab on my waist and put that body on me""
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new

Oh, I'm in love with your body
Oh-i-oh-i-oh-i-oh-i
Oh, I'm in love with your body
Oh-i-oh-i-oh-i-oh-i
Oh, I'm in love with your body
Oh-i-oh-i-oh-i-oh-i
Oh, I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new

Oh, I'm in love with your body
Come on, be my baby, come on
(Come on, be my baby, come on)
I'm in love with your body
Come on, be my baby, come on
(Come on, be my baby, come on)
Oh, I'm in love with your body
Come on, be my baby, come on
(Come on, be my baby, come on)
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you"
1,Rolling In The Deep,Adele,10,1,"deep, tears, heart, hands, scars","There's a fire starting in my heart
Reaching a fever pitch and it's bring me out the dark
Finally, I can see you crystal clear
Go ahead and sell me out and I'll lay your ship bare
See how I'll leave with every piece of you
Don't underestimate the things that I will do

There's a fire starting in my heart
Reaching a fever pitch and it's bring me out the dark
The scars of your love remind me of us
They keep me thinking that we almost had it all
The scars of your love, they leave me breathless

I can't help feeling
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep

(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hands
(You're gonna wish you never had met me)
And you played it to the beat

(Tears are gonna fall, rolling in the deep)

Baby, I have no story to be told
But I've heard one on you and I'm gonna make your head burn

Think of me in the depths of your despair
Make a home down there as mine sure won't be shared
The scars of your love remind me of us
(You're gonna wish you never had met me)

They keep me thinking that we almost had it all
(Tears are gonna fall, rolling in the deep)
The scars of your love, they leave me breathless
(You're gonna wish you never had met me)

I can't help feeling
(Tears are gonna fall, rolling in the deep)
We could have had it all
(You're gonna wish you never had met me)

Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hands
(You're gonna wish you never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)

Could have had it all
Rolling in the deep
You had my heart inside of your hands
But you played it with a beating
Throw your soul through every open door
Count your blessings to find what you look for
Turn my sorrow into treasured gold
You'll pay me back in kind and reap just what you've sown
(You're gonna wish you never had met me)
We could have had it all
(Tears are gonna fall, rolling in the deep)
We could have had it all
(You're gonna wish you never had met me)
It all, it all, it all
(Tears are gonna fall, rolling in the deep)
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hands
(You're gonna wish you never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hands
(You're gonna wish you never had met me)
But you played it
You played it
You played it
You played it to the beat."
2,Without Me,Halsey,12,2,"baby, sittin, high, sky, lonely","[Intro]
Without me, without me, yeah
Without me, without me, yeah

[Verse 1]
Found you when your heart was broke
I filled your cup until it overflowed
Took it so far to keep you close (keep you close)
I was afraid to leave you on your own

[Pre-Chorus]
I say I'd catch you if you fall
And if they laugh, then fuck 'em all
And then I got you off your knees
Put you right back on your feet
Just so you can take advantage of me

[Chorus]
Tell me how's it feel sittin' up there
Feeling so high but too far away to hold me
You know I'm the one who put you up there
Name in the sky
Does it ever get lonely?
Thinking you could live without me
Thinking you could live without me
Baby, I'm the one who put you up there
I don't know why (Yeah, I don't know why)
Thinking you could live without me
Live without me
Baby, I'm the one who put you up there
I don't know why (I don't know why, yeah yeah)

[Verse 2]
Gave love 'bout a hundred tries
Just running from the demons in your mind
Then I took yours and made 'em mine
I didn't notice 'cause my love was blind

[Pre-Chorus]
Say I'd catch you if you fall
And if they laugh, then fuck 'em all
And then I got you off your knees
Put you right back on your feet
Just so you can take advantage of me

[Chorus]
Tell me how's it feel sittin' up there
Feeling so high but too far away to hold me
You know I'm the one who put you up there
Name in the sky
Does it ever get lonely?
Thinking you could live without me
Thinking you could live without me
Baby, I'm the one who put you up there
I don't know why (Yeah, I don't know why)
Thinking you could live without me
Live without me
Baby, I'm the one who put you up there
I don't know why, yeah

[Bridge]
You don't have to say just what you did
I already know
I had to go and find out from them
So tell me how's it feel (oh-woah)

[Chorus]
Tell me how's it feel sittin' up there
Feeling so high but too far away to hold me
You know I'm the one who put you up there
Name in the sky
Does it ever get lonely?
Thinking you could live without me
Thinking you could live without me
Baby, I'm the one who put you up there
I don't know why (Yeah, I don't know why)"
3,Call Me Maybe,Carly Rae Jepsen,13,3,"number, bad, baby, crazy, way","I threw a wish in the well, don't ask me, I'll never tell
I looked to you as it fell and now you're in my way
I trade my soul for a wish, pennies and dimes for a kiss
I wasn't looking for this, but now you're in my way

Your stare was holdin', Ripped jeans, skin was showin'
Hot night, wind was blowin'
Where you think you're going, baby?

Hey, I just met you and this is crazy
But here's my number, so call me, maybe?
It's hard to look right at you, baby
But here's my number, so call me, maybe?

Hey, I just met you and this is crazy
But here's my number, so call me, maybe?
And all the other boys try to chase me
But here's my number, so call me, maybe?

You took your time with the call, I took no time with the fall
You gave me nothing at all, but still, you're in my way
I beg, and borrow and steal, have foresight and it's real
I didn't know I would feel it, but it's in my way

Your stare was holdin', Ripped jeans, skin was showin'
Hot night, wind was blowin'
Where you think you're going, baby?

Hey, I just met you and this is crazy
But here's my number, so call me, maybe?
It's hard to look right at you, baby
But here's my number, so call me, maybe?

Hey, I just met you and this is crazy
But here's my number, so call me, maybe?
And all the other boys try to chase me
But here's my number, so call me, maybe?

Before you came into my life I missed you so bad
I missed you so bad, I missed you so, so bad
Before you came into my life I missed you so bad
And you should know that, I missed you so, so bad

It's hard to look right at you, baby
But here's my number, so call me, maybe?

Hey, I just met you and this is crazy
But here's my number, so call me, maybe?
And all the other boys try to chase me
But here's my number, so call me, maybe?

Before you came into my life I missed you so bad
I missed you so bad, I missed you so, so bad
Before you came into my life I missed you so bad
And you should know that, so call me, maybe?"
4,Perfect,Ed Sheeran,15,4,"love, darling, perfect, baby, dark","I found a love for me
Darling, just dive right in and follow my lead
Well, I found a girl, beautiful and sweet
Oh, I never knew you were the someone waiting for me
'Cause we were just kids when we fell in love
Not knowing what it was
I will not give you up this time
But darling, just kiss me slow, your heart is all I own
And in your eyes you're holding mine

Baby, I'm dancing in the dark with you between my arms
Barefoot on the grass, listening to our favorite song
When you said you looked a mess, I whispered underneath my breath
But you heard it, darling, you look perfect tonight

Well I found a woman, stronger than anyone I know
She shares my dreams, I hope that someday I'll share her home
I found a love, to carry more than just my secrets
To carry love, to carry children of our own
We are still kids, but we're so in love
Fighting against all odds
I know we'll be alright this time
Darling, just hold my hand
Be my girl, I'll be your man
I see my future in your eyes

Baby, I'm dancing in the dark, with you between my arms
Barefoot on the grass, listening to our favorite song
When you saw you in that dress, looking so beautiful
I don't deserve this, darling, you look perfect tonight

Baby, I'm dancing in the dark, with you between my arms
Barefoot in the grass, listening to our favorite song
I have faith in what I see
Now I know I have met an angel in person
And she looks perfect, no I don't deserve this
You look perfect tonight"
5,Sicko Mode,Travis Scott,16,5,"light, shit, keeps, weak, ehh","Astro

Sun is down, freezing cold
That's how we already know winter's here
My dawg would probably doing it for a Louis belt
That's just all he know he don't know nothing else
I tried to show him, yeah
I tried to show him, yeah, yeah
Yeah, yeah, yeah
Goin' on you with the pick and roll
Young LaFlame yeah he's in sicko mode

Made this here with all the ice on in the booth
At the gate outside, when they pull up, they get me loose
Yeah, Jump Out boys, that's Nike boys, hop in our coupes
This shit way too big,
when we pull up give me the loot (give me the loot!)
Was off the Remy, had to Papoose
Had to hit my old town to duck the news
Two-four all on lockdown, we make no moves
Now it's 4AM and I'm back up poppin' with the crew
I just landed in Chase B mixes pop like Jamba juice
Different colored chains, see my jeweler really selling fruits
And they joking, man, know the crackers wish it was a noose

Someone said
To win the retreat, we all in too deep
Playing for keeps, don't play us for weak (Someone said)
To win the retreat, we all in too deep
Playing for keeps, don't play us for weak

This shit way too formal, ya'll know I don't follow suit
Stacy Dash, most these of girls ain't got a clue
All of these hoes I made off records I produced
I might take all my exes and put 'em all in a group
Hit my eses, I need the booch
Bout to turn this function to Bonnaroo
Told her ""hop in, you coming too""
In the 305,
bitches treat me like I'm Uncle Luke (don't stop, pop that pussy)
Had to slop the top off, it's just a roof
She said ""where we going?""
I said ""the moon"", we ain't even make it to the room
She thought it was the ocean, it's just the pool
Now I got her open, it's just the Goose
Who put this shit together, I'm the glue
(Someone said)
Shorty FaceTime me out the blue

(Someone said) player,
Player for keeps, (someone said, motherfucker)
(Someone said)
don't play us for weak

(Yeah)
Astro
Yeah, yeah
Tay Keith, fuck these niggas up
Ay, ay

She's in love with who I am
Back in high school, I used to bust it to the dance (yeah)
Now I hit that epi O with duffles in my hand
I did half a Xan, thirteen hours til I land
Had me out like a light ehh
Like a light ehh, like a light ehh

Slept through the flight eh
Not for the night eh
Seven-sixty seven, man
This shit got double bedroom, man
I still got scores to settle, man
I crept down the block (down the block)
Made a right (yeah), cut the lights (yeah)
Pay the price (yeah)

Niggas think it's sweet, it's on sight (yeah), nothing nice (yeah)
Baguettes in my ice, Jesus Christ (yeah)
Checks over stripes (yeah),
that's what I like (yeah), that's what we like (yeah)
Lost my respect, you not a threat
When I shoot my shot, that shit wetty like I'm Sheck (bitch!)
See the shots that I took, wet like I'm Book
Wet like I'm Lizzy, I be spending finally
Circle blocks 'til I'm dizzy (yeah, what)
Like where is he, no one seen him (yeah, what)
I'm tryna clean 'em (yeah)

She's in love with who I am
Back in high school, I used to bust it to the dance
Now I hit that epi-o with duffles in my hand (whoo!)
I did half a Xan, thirteen hours til I land
Had me out like a light
Like a light, like a light, like a light
Like a light, like a light, like a light

Yeah, pass the dozen celly
He sending text ain't sendin' kites, yeah
He said ""keep that on lock""
I said ""you know this shit is tight"", yeah
It's absolute (yeah), I'm back rebute (it's lit!)
LaFerrari to Jamba juice, yeah (skrr, skrr)
We back on the road, they jumping off, no parachute, yeah

Shorty in the back,
she said she working on her glutes, yeah (oh my God)
Ain't by the book (yeah), this how it look (yeah)
Bout a check, just check the foot
Passes to my daughter, I'ma show her what it took (yeah)
Baby mama cover Forbes, got these other bitches shook, yeah"
6,All About That Bass,Meghan Trainor,17,6,"bass, treble, size, boys, booty","Because you know I'm all about that bass
'Bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass

Yeah it's pretty clear, I ain't no size two
But I can shake it, shake it like I'm supposed to do
'Cause I got that boom boom that all the boys chase
All the right junk in all the right places
I see the magazines working that Photoshop
We know that shit ain't real
Come on now, make it stop
If you got beauty, beauty just raise 'em up
'Cause every inch of you is perfect from the bottom to the top

Yeah, my momma she told me don't worry about your size
She says ""boys they like a little more booty to hold at night""
You know I won't be no stick-figure, silicone Barbie doll
So, if that's what's you're into
Then go ahead and move along

Because you know I'm all about that bass
'Bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass

I'm bringing booty back
Go ahead and tell them skinny bitches ""Hey""
No, I'm just playing I know you think you're fat
But I'm here to tell you that
Every inch of you is perfect from the bottom to the top

Yeah, my momma she told me don't worry about your size
She says ""boys they like a little more booty to hold at night""
You know I won't be no stick-figure, silicone Barbie doll
So, if that's what's you're into
Then go ahead and move along
Because you know I'm all about that bass
'Bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass"
7,Royals,Lorde,18,7,"royals, kind, ruler, blood, gold","I've never seen a diamond in the flesh
I cut my teeth on wedding rings in the movies
And I'm not proud of my address
In the torn-up town, no post code envy

But every song's like gold teeth, Grey Goose, trippin' in the bathroom
Blood stains, ball gowns, trashin' the hotel room

We don't care, we're driving Cadillacs in our dreams

But everybody's like Cristal, Maybach, diamonds on your time piece
Jet planes, islands, tigers on a gold leash
We don't care, we aren't caught up in your love affair

And we'll never be royals (royals)
It don't run in our blood
That kind of lux just ain't for us
We crave a different kind of buzz
Let me be your ruler (ruler)
You can call me Queen Bee
And baby I'll rule, I'll rule, I'll rule, I'll rule
Let me live that fantasy

My friends and I? We've cracked the code
We count our dollars on the train to the party
And everyone who knows us knows that we're fine with this
We didn't come from money

But every song's like gold teeth, Grey Goose, trippin' in the bathroom
Blood stains, ball gowns, trashin' the hotel room

We don't care, we're driving Cadillacs in our dreams

But everybody's like Cristal, Maybach, diamonds on your time piece
Jet planes, islands, tigers on a gold leash
We don't care we aren't caught up in your love affair

And we'll never be royals (royals)
It don't run in our blood
That kind of lux just ain't for us
We crave a different kind of buzz
Let me be your ruler (ruler)
You can call me Queen Bee
And baby I'll rule, I'll rule, I'll rule, I'll rule
Let me live that fantasy

Oooh ooooh ohhh

We're bigger than we ever dreamed
And I'm in love with being queen
Oooooh ooooh ohhhhh
Life is great without a care
We aren't caught up in your love affair
And we'll never be royals (royals)
It don't run in our blood
That kind of lux just ain't for us
We crave a different kind of buzz
Let me be your ruler (ruler)
You can call me Queen Bee
And baby I'll rule, I'll rule, I'll rule, I'll rule
Let me live that fantasy"
8,God's Plan,Drake,19,8,"things, bad, god, plan, lot","[Intro]
Yeah they wishin' and wishin' and wishin' and wishin'
They wishin' on me, yuh

[Verse 1]
I been movin' calm, don't start no trouble with me
Tryna keep it peaceful is a struggle for me
Don't pull up at 6 AM to cuddle with me
You know how I like it when you lovin' on me
I don't wanna die for them to miss me
Guess I see the things that they wishin' on me
Hope I got some brothers that outlive me
They gon' tell the story, s*** was different with me

[Chorus 1]
God's plan, God's plan
I hold back, sometimes I won't, yuh
I feel good, sometimes I don't, ay, don't
I finessed down Weston Road, ay, 'nessed
Might go down a G.O.D., yeah, wait
I go hard on Southside G, yu
ait
I make sure that north-side eat
And still

[Bridge]
Bad things
It's a lot of bad things
That they wishin' and wishin' and wishin' and wishin'
They wishin' on me
Bad things
It's a lot of bad things
That they wishin' and wishin' and wishin' and wishin'
They wishin' on me
Yuh, ay, ay

[Verse 2]
She say, ""Do you love me?"" I tell her, ""Only partly""
I only love my bed and my momma, I'm sorry
Fifty dub, I even got it tatted on me
81, they'll bring the crashers to the party
And you know me
Turn the O2 into the O3, dog
Without 40, Oli, there would be no me
Imagine if I never met the broskies

[Chorus 2]
God's plan, God's plan
I can't do this on my own, ay, no, ay
Someone watchin' this s*** close, yep, close
I've been me since Scarlett Road, ay, road, ay
Might go down as G.O.D., yeah, wait
I go hard on Southside G, ay, wait
I make sure that north-side eat, yuh
And still

[Bridge]
Bad things
It's a lot of bad things
That they wishin' and wishin' and wishin' and wishin'
They wishin' on me
Yeah, yeah
Bad things
It's a lot of bad things
That they wishin' and wishin' and wishin' and wishin'
They wishin' on me
Yeah"
9,Happy,Pharrell Williams,21,9,"happy, happiness, room, roof, truth","It might seem crazy what I am about to say
Sunshine she's here, you can take a break
I'm a hot air balloon that could go to space
With the air, like I don't care baby by the way

Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth
Because I'm happy
Clap along if you know what happiness is to you
Because I'm happy
Clap along if you feel like that's what you wanna do

Here come bad news talking this and that
Yeah, give me all you got, don't hold back
Yeah, well I should probably warn you I'll be just fine
Yeah, no offense to you don't waste your time
Here's why:

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

Happy, come on, bring me down
Happy, come on, bring me down
My Love is too high to bring me down
Can't nothing, bring me down
I said bring me down
Can't nothing, bring me down
My Love is too high to bring me down
Can't nothing, bring me down
I said:

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

(Happy, happy, happy, happy)
Bring me down...
can't nothing...
(Happy, happy, happy, happy)
Bring me down... my love is too high...
(Happy, happy, happy, happy)
Bring me down... can't nothing...
(Happy, happy, happy, happy)
Bring me down, I said

Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth
Because I'm happy
Clap along if you know what happiness is to you
Because I'm happy
Clap along if you feel like that's what you wanna do

Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth
Because I'm happy
Clap along if you know what happiness is to you
Because I'm happy
Clap along if you feel like that's what you wanna do
Come on! (Echoed)"
